50;75
890;-160
1680;-245
2375;-245
4065;-14
4635;195
5395;565
5775;805
6015;1075
6145;1485
6325;2245
6325;2485
6305;2705
6275;2775
6175;2905
6065;2965
5965;3015
5785;3085
5705;3085
5605;3085
5465;3125
5365;3135
5255;3145
5145;3185
5075;3215
4975;3275
4905;3365
4835;3445
4805;3595
4805;3745
4905;3895
4955;3945
5055;4005
5175;4055
5275;4065
5475;4085
5625;4095
5825;4095
5985;4095
6125;4095
6195;4095
6335;4095
6535;4085
6685;4085
6805;4085
6925;4085
7155;4105
7345;4215
7415;4305
7425;4515
7375;4605
7255;4805
7105;4905
6935;4995
6765;5025
6585;5085
6485;5085
6285;5085
6005;5115
5835;5135
5645;5135
5415;5165
5225;5225
5085;5255
4925;5365
4815;5465
4705;5605
4565;5775
4485;5905
3965;6435
2905;6645
1835;6425
965;5925
295;4905
-14;4015
-305;2885
-615;2205
-645;1485
-475;765
